Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Lesson,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
325000,1.3447199,0.8804018,6.0,0.064467534,0.05959704,0.00020300975,363.875,7.696474697440863,7.696474697440863,1.0
330000,1.3532106,0.9165918,6.0,0.056554496,0.071123734,0.00020174435,436.54545454545456,7.405283138155937,7.405283138155937,1.0
335000,1.3436203,0.8653706,6.0,0.04539304,0.07016332,0.00020017085,452.5,7.423214034310409,7.423214034310409,1.0
340000,1.5840169,0.8125859,6.0,0.06247041,0.06410151,0.00019858564,363.0833333333333,7.709133063753446,7.709133063753446,1.0
345000,1.4443657,0.8404696,6.0,0.05575606,0.06486418,0.0001973303,376.5833333333333,7.698216609656811,7.698216609656811,1.0
350000,1.0113745,0.9549966,6.0,0.038646724,0.071618736,0.00019573326,344.14285714285717,7.724142734493528,7.724142734493528,1.0
355000,1.2159181,0.89361393,6.0,0.04280657,0.077875,0.0001941434,613.6923076923077,6.431584602938249,6.431584602938249,1.0
360000,1.7607031,0.7342223,7.0,0.046117887,0.07204127,0.00019282493,319.0,7.660999869306882,7.660999869306882,1.0
365000,1.6583351,0.75829923,7.0,0.071699984,0.058593985,0.00019119795,409.9166666666667,7.671616531908512,7.671616531908512,1.0
370000,1.5946023,0.7723579,7.0,0.07008258,0.06609062,0.00018961672,329.53846153846155,7.735845962396035,7.735845962396035,1.0
375000,1.8484726,0.74729574,7.0,0.0797113,0.064935304,0.00018835596,355.75,7.652412235736847,7.652412235736847,1.0
380000,1.8616956,0.74687964,7.0,0.07194773,0.07061028,0.00018678386,345.6923076923077,7.72292283635873,7.72292283635873,1.0
385000,1.7965535,0.7585783,7.0,0.069421954,0.06611903,0.00018520205,363.0,7.70911237038672,7.70911237038672,1.0
390000,1.7964715,0.73857874,7.0,0.07504426,0.070616044,0.00018362986,303.0,7.685628258756229,7.685628258756229,1.0
395000,1.7610165,0.77635455,7.0,0.06890519,0.06453872,0.00018205626,342.6,7.725400026639303,7.725400026639303,1.0
400000,1.6327611,0.8296316,7.0,0.07016383,0.06572369,0.00018079387,366.7857142857143,7.706045827040305,7.706045827040305,1.0
405000,1.6505691,0.78836715,7.0,0.06770826,0.0693406,0.00017920106,395.07142857142856,7.684986422459285,7.684986422459285,1.0
410000,1.7672967,0.75932,7.0,0.07170356,0.062293306,0.00017761401,321.5,7.742199910538537,7.742199910538537,1.0
415000,1.7789379,0.76695997,7.0,0.062031697,0.060153715,0.00017635476,341.0,7.7266747653484344,7.7266747653484344,1.0
420000,1.7914065,0.7465673,7.0,0.07314324,0.06350783,0.00017475546,309.6666666666667,7.751826504866282,7.751826504866282,1.0
425000,1.7130195,0.76042175,7.0,0.06929621,0.06849171,0.00017313397,360.61538461538464,7.710922908324462,7.710922908324462,1.0
430000,1.5283054,0.82925683,7.0,0.07288821,0.06265348,0.00017187335,385.45454545454544,7.691090892661702,7.691090892661702,1.0
435000,1.5463386,0.8056326,7.0,0.061538253,0.075296104,0.00017030757,434.42857142857144,7.152042524090835,7.152042524090835,1.0
440000,1.6557453,0.7288445,7.0,0.072939426,0.07924156,0.00016872125,321.1666666666667,7.742699861526489,7.742699861526489,1.0
445000,1.5554802,0.74915,7.0,0.057567596,0.06951273,0.00016744132,471.84615384615387,7.391230488625856,7.391230488625856,1.0
450000,1.6533706,0.71513,7.0,0.07906168,0.06706648,0.00016586874,325.46666666666664,7.741057048950877,7.741057048950877,1.0
455000,1.6676661,0.76446813,7.0,0.06881317,0.065167174,0.0001643186,363.85714285714283,7.708871339048658,7.708871339048658,1.0
460000,1.7356043,0.7212786,7.0,0.06557902,0.06571407,0.00016271287,321.5,7.740305704229018,7.740305704229018,1.0
465000,1.774759,0.7972692,7.0,0.05366351,0.06970556,0.00016112691,353.9166666666667,7.716316451629003,7.716316451629003,1.0
470000,1.6967807,0.8678003,7.0,0.06956336,0.0862336,0.00015985116,494.5,7.603959795832634,7.603959795832634,1.0
475000,1.7229666,0.76455986,7.0,0.08053223,0.07256871,0.00015827206,334.72222222222223,7.731435198994244,7.731435198994244,1.0
480000,1.7453957,0.75823575,7.0,0.07615813,0.071200386,0.00015671451,331.7692307692308,7.734171441623142,7.734171441623142,1.0
485000,1.7331562,0.80767745,7.0,0.06211528,0.06659147,0.00015541671,387.0,7.689956916230066,7.689956916230066,1.0
490000,1.8256954,0.7653988,7.0,0.063630246,0.07233939,0.00015383067,309.6923076923077,7.751738341955038,7.751738341955038,1.0
495000,1.8051409,0.7425761,7.0,0.08237056,0.07334207,0.00015221813,381.3333333333333,7.6945198694864905,7.6945198694864905,1.0
500000,1.6430774,0.79608923,7.0,0.07847328,0.0651251,0.00015093382,374.0769230769231,7.70018442777487,7.70018442777487,1.0
505000,1.6028084,0.7478879,7.0,0.06544882,0.06024039,0.00014934836,401.92857142857144,7.1778998502663205,7.1778998502663205,1.0
510000,1.8705114,0.6659854,7.0,0.0660095,0.06751639,0.00014778682,303.6875,7.69421236589551,7.69421236589551,1.0
